"Смартфон XIAOMI Redmi A2 2/32GB Dual Sim Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_a2_232gb_black.html," 2 999 ₴ "
"Смартфон XIAOMI Redmi A2 2/32GB Dual Sim Light Green",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_a2_232gb_light_green.html," 2 999 ₴ "
"Смартфон XIAOMI 12 Lite 6/128Gb Dual Sim Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_12_lite_6128gb_black.html," 11 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 4/64GB Onyx Gray (984219)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_464gb_onyx_gray.html," 6 499 ₴ "
"Смартфон XIAOMI 13 Lite 8/256GB Blue (976164)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_13_lite_8256gb_blue.html," 16 999 ₴ "
"Смартфон XIAOMI 13T 8/256GB Alpine Blue (1002910)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_13t_8256gb_alpine_blue.html," 25 999 ₴ "
"Смартфон XIAOMI 13 8/256GB Flora Green (976168)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_13_8256gb_flora_green.html," 34 999 ₴ "
"Смартфон XIAOMI 12 5G 8/128GB Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_12_8128gb_blue.html," 20 999 ₴ "
"Смартфон XIAOMI 13T 8/256GB Meadow Green (1002912)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_13t_8256gb_meadow_green.html," 25 999 ₴ "
"Смартфон Xiaomi Redmi Note 12S 8/256GB Dual Sim Ice Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12s_8256gb_ice_blue.html," 7 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro 8/256GB Graphite Gray",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro_8256gb_graphite_gray.html," 10 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro+ 5G 8/256 Gb Dual Sim Midnight Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro__5g_8256gb_midnight_black.html," 15 999 ₴ "
"Смартфон XIAOMI 13 Lite 8/256GB Blue (976164)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_13_lite_8256gb_blue.html," 16 999 ₴ "
"Смартфон XIAOMI Redmi 12 4/128GB Midnight Black",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_12_4128gb_midnight_black.html," 5 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 8/256GB Dual Sim Onyx Gray",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_8256gb_onyx_gray.html," 8 499 ₴ "
"Смартфон XIAOMI Redmi Note 12 4/128GB Оnyx Gray (980128)",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_4128gb_onyx_gray.html," 6 999 ₴ "
"Смартфон XIAOMI Redmi Note 12 Pro 8/256GB Glacier Blue",https://www.foxtrot.com.ua/ru/shop/smartfoniy_i_mobilniye_telefoniy_xiaomi_redmi_note_12_pro_8256gb_glacier_blue.html," 10 999 ₴ "
